AddressId,Hispanic_ACS_10_14,NH_White_alone_ACS_10_14,NH_Blk_alone_ACS_10_14,NH_AIAN_alone_ACS_10_14,NH_Asian_alone_ACS_10_14,NH_NHOPI_alone_ACS_10_14,NH_SOR_alone_ACS_10_14
6001400100,263,2098,137,0,722,0,63
6001400200,134,1390,34,0,213,0,4
6001400300,418,3336,715,13,673,0,0
6001400400,457,2557,713,17,347,0,0
6001400500,520,1842,902,0,115,0,9
6001400600,238,627,638,0,85,0,0
6001400700,476,1502,1919,66,114,0,16
6001400800,469,1166,1156,0,361,0,9
6001400900,97,979,630,21,217,0,32
6001401000,1136,1559,2257,12,203,88,22
6001401100,468,2089,951,5,515,0,0
6001401200,356,1336,270,4,242,33,0
6001401400,855,827,1924,50,473,25,8
6001401500,217,843,770,4,208,0,0
6001401600,233,410,903,0,228,49,12
6001401700,859,621,753,0,282,0,11
6001401800,353,338,910,0,20,0,7
6001402200,665,460,930,0,289,70,0
6001402600,34,105,304,5,575,0,6
6001402700,204,383,883,4,132,0,6
6001402800,328,930,1363,0,532,0,0
6001403000,48,157,92,65,2026,26,17
6001403100,216,474,289,20,680,9,0
6001403300,236,1037,296,0,2015,0,0
6001403400,494,1406,869,38,1271,0,0
6001403501,443,1430,1300,37,1102,0,0
6001403502,229,1063,430,0,259,0,0
6001403600,513,1474,896,54,1057,4,61
6001403701,200,1354,449,0,316,0,78
6001403702,149,1233,141,0,266,35,0
6001403800,265,2187,288,0,436,0,23
6001403900,256,1941,867,11,663,0,45
6001404000,413,1724,174,0,321,0,19
6001404101,143,2166,47,5,327,0,5
6001404102,179,1459,216,0,599,0,0
6001404200,242,2196,259,0,514,19,8
6001404300,229,2288,161,0,486,18,0
6001404400,399,3284,170,0,909,0,19
6001404501,84,1276,54,0,182,0,0
6001404502,274,4179,222,0,397,0,0
6001404600,147,3073,289,17,596,34,0
6001404700,71,1582,135,0,211,0,12
6001404800,313,1109,637,16,599,20,30
6001404900,569,2127,565,15,842,22,12
6001405000,364,2061,333,5,462,0,0
6001405100,165,2773,442,31,383,0,10
6001405200,586,1819,549,52,1022,39,0
6001405301,421,1176,627,7,385,0,0
6001405401,1223,509,931,9,1508,6,17
6001405402,430,260,640,0,1334,108,0
6001405500,716,776,577,12,1614,0,0
6001405600,351,630,838,22,1254,0,0
6001405700,523,378,1398,9,929,0,0
6001405800,790,303,820,13,1647,216,0
6001405901,1222,275,623,0,1695,0,5
6001405902,1189,323,359,3,1458,85,16
6001406000,532,599,656,49,1340,0,0
6001406100,3225,498,375,32,667,9,0
6001406201,1898,165,723,20,1190,90,42
6001406202,2752,352,475,92,454,166,81
6001406300,1274,401,948,0,1603,0,0
6001406400,396,524,619,0,693,0,0
6001406500,2663,540,1050,0,1505,8,0
6001406601,788,500,1795,17,1452,5,0
6001406602,851,451,392,28,861,0,0
6001406700,582,2806,451,17,951,0,0
6001406800,613,1165,608,37,910,0,0
6001406900,604,1276,923,24,791,7,34
6001407000,1363,616,1351,18,2293,0,0
6001407101,1959,198,434,27,1039,0,81
