Hispanic_ACS_10_14,NH_White_alone_ACS_10_14,NH_Blk_alone_ACS_10_14,NH_AIAN_alone_ACS_10_14,NH_Asian_alone_ACS_10_14,NH_NHOPI_alone_ACS_10_14,NH_SOR_alone_ACS_10_14
263,2098,137,0,722,0,63
134,1390,34,0,213,0,4
418,3336,715,13,673,0,0
457,2557,713,17,347,0,0
520,1842,902,0,115,0,9
238,627,638,0,85,0,0
476,1502,1919,66,114,0,16
469,1166,1156,0,361,0,9
97,979,630,21,217,0,32
1136,1559,2257,12,203,88,22
468,2089,951,5,515,0,0
356,1336,270,4,242,33,0
682,941,1244,50,736,0,0
855,827,1924,50,473,25,8
217,843,770,4,208,0,0
233,410,903,0,228,49,12
859,621,753,0,282,0,11
353,338,910,0,20,0,7
665,460,930,0,289,70,0
317,434,1673,30,233,0,62
370,102,1179,0,178,0,0
34,105,304,5,575,0,6
204,383,883,4,132,0,6
328,930,1363,0,532,0,0
141,317,182,38,687,0,0
48,157,92,65,2026,26,17
216,474,289,20,680,9,0
236,1037,296,0,2015,0,0
494,1406,869,38,1271,0,0
443,1430,1300,37,1102,0,0
229,1063,430,0,259,0,0
513,1474,896,54,1057,4,61
200,1354,449,0,316,0,78
149,1233,141,0,266,35,0
265,2187,288,0,436,0,23
256,1941,867,11,663,0,45
413,1724,174,0,321,0,19
143,2166,47,5,327,0,5
179,1459,216,0,599,0,0
242,2196,259,0,514,19,8
229,2288,161,0,486,18,0
399,3284,170,0,909,0,19
84,1276,54,0,182,0,0
274,4179,222,0,397,0,0
147,3073,289,17,596,34,0
71,1582,135,0,211,0,12
313,1109,637,16,599,20,30
569,2127,565,15,842,22,12
364,2061,333,5,462,0,0
165,2773,442,31,383,0,10
586,1819,549,52,1022,39,0
421,1176,627,7,385,0,0
529,552,463,8,897,0,8
1223,509,931,9,1508,6,17
430,260,640,0,1334,108,0
716,776,577,12,1614,0,0
351,630,838,22,1254,0,0
523,378,1398,9,929,0,0
790,303,820,13,1647,216,0
1222,275,623,0,1695,0,5
1189,323,359,3,1458,85,16
532,599,656,49,1340,0,0
3225,498,375,32,667,9,0
1898,165,723,20,1190,90,42
2752,352,475,92,454,166,81
1274,401,948,0,1603,0,0
396,524,619,0,693,0,0
2663,540,1050,0,1505,8,0
788,500,1795,17,1452,5,0
851,451,392,28,861,0,0
582,2806,451,17,951,0,0
613,1165,608,37,910,0,0
604,1276,923,24,791,7,34
1363,616,1351,18,2293,0,0
1959,198,434,27,1039,0,81
2291,355,884,0,768,131,0
4740,372,404,13,870,0,24
1323,335,278,0,451,6,87
3057,232,659,0,396,0,0
1746,216,1317,28,167,0,0
1407,673,2657,0,736,48,0
486,1179,2272,0,113,27,0
627,658,879,0,415,0,1
225,1212,464,0,432,85,7
292,1352,438,9,525,4,0
578,2301,1807,33,1299,0,67
698,664,2167,54,268,0,6
843,1582,1881,0,200,28,26
1231,140,1653,16,0,149,205
2814,73,2255,0,216,164,25
3167,309,2453,18,422,0,0
3769,175,3129,0,186,0,0
3292,148,2085,60,355,71,0
1772,163,1111,10,64,18,0
1974,149,1494,0,195,74,0
962,146,828,0,57,115,0
1380,97,1237,111,262,0,0
3152,305,1394,7,151,29,0
2626,289,1207,0,357,0,0
2437,308,893,12,111,49,0
3176,155,1462,0,84,0,0
2456,105,2351,10,175,74,0
503,228,1691,0,192,0,0
557,787,1504,0,268,0,0
394,1015,1303,0,179,0,0
404,678,1634,4,140,0,0
1303,240,1410,0,23,0,0
2010,165,1009,25,85,149,3
1711,160,1699,0,461,10,0
201,122,1374,0,504,7,0
180,1629,77,9,315,0,30
290,1607,234,8,713,121,0
524,1710,282,5,1794,0,2
775,1084,137,9,1436,26,0
122,1261,171,0,587,0,90
307,1833,108,13,421,0,0
65,1588,11,0,300,9,33
256,2805,8,6,414,0,0
192,3223,128,0,353,10,44
127,1344,62,0,138,9,0
145,3144,71,0,243,0,64
148,2760,40,0,449,0,0
510,2053,104,0,758,0,60
167,1756,28,11,137,0,0
176,2448,295,0,669,0,0
318,986,322,0,118,0,0
497,1181,203,17,283,0,0
367,2074,203,11,505,40,17
310,2381,200,0,655,44,81
300,2116,61,0,1691,0,21
505,2353,197,0,1004,8,4
39,366,2,0,274,0,0
732,2062,171,13,1342,0,11
1131,2802,246,73,3470,0,35
219,1914,377,0,1604,0,0
446,3060,449,13,792,0,17
289,2201,456,6,763,0,8
988,1060,382,12,167,48,8
704,1304,1342,78,432,15,0
751,2266,784,6,847,0,0
319,1773,478,34,336,0,0
232,2040,23,0,311,0,0
503,2284,289,0,2722,42,17
260,2672,50,25,758,0,17
262,2238,11,0,407,22,0
219,1126,349,8,116,0,0
155,1080,52,0,71,0,19
763,1345,1328,1,355,11,16
469,748,872,16,126,0,0
21,908,123,8,432,0,0
183,1079,342,6,1044,0,0
364,1321,323,0,634,0,8
470,1272,839,0,587,0,0
380,4412,29,13,1171,12,0
282,3390,46,0,816,0,0
314,2423,192,0,464,57,8
891,1758,215,13,878,198,17
588,1708,558,0,1656,52,0
756,1123,1085,0,2193,0,0
403,2367,396,0,1087,12,0
742,2700,230,28,799,14,0
631,2612,217,9,1074,0,21
583,1052,154,0,1437,0,0
798,2874,110,17,887,9,55
870,3324,444,0,1815,24,0
218,2344,134,14,3038,0,146
275,3007,190,0,3047,76,38
723,2156,309,0,1229,0,5
567,1348,205,0,1143,6,0
