HouseHoldId,Single_Unit_ACS_10_14,MLT_U2_9_STRC_ACS_10_14,MLT_U10p_ACS_10_14,Mobile_Homes_ACS_10_14
1,1301,81,0,0
2,595,179,93,0
3,1473,541,583,0
4,933,730,231,0
5,772,630,278,0
6,366,369,29,0
7,847,962,129,10
8,703,699,394,0
9,612,417,79,0
10,1145,1355,174,45
11,624,973,520,0
12,557,533,183,0
13,27,575,1255,0
14,385,1119,249,0
15,499,339,388,0
16,293,417,208,0
17,444,383,495,0
18,333,389,112,0
19,429,459,130,8
20,329,500,336,29
21,192,168,422,0
22,61,76,540,0
23,168,372,198,0
24,82,243,1893,0
25,17,23,814,0
26,89,118,1497,5
27,24,138,564,14
28,122,254,1917,0
29,60,76,2936,37
30,319,477,1964,0
31,187,451,648,0
32,266,270,2127,61
33,15,333,1476,10
34,32,296,820,17
35,606,785,513,0
36,307,479,1479,10
37,237,328,1175,0
38,600,526,641,5
39,231,348,1078,0
40,1117,73,215,0
41,1061,140,154,0
42,1711,185,496,0
43,671,47,0,0
44,2219,144,53,0
45,1828,16,10,0
46,821,0,0,5
47,682,274,336,0
48,1153,701,284,0
49,1093,296,238,0
50,1525,30,39,12
51,617,1225,750,0
52,79,524,1009,0
53,70,547,967,0
54,403,480,898,8
55,253,630,400,0
56,510,764,410,0
57,445,701,365,4
58,521,627,348,0
59,767,574,64,0
60,574,468,136,0
61,477,473,76,0
62,259,481,840,0
63,664,442,531,9
64,542,367,567,21
65,302,534,593,0
66,619,447,221,17
67,415,270,126,0
68,945,990,104,0
69,991,628,253,0
70,398,416,182,0
71,1921,345,83,0
72,1129,332,0,0
73,1083,424,60,0
74,1195,710,282,16
75,504,446,159,0
76,1032,248,140,6
77,746,743,446,10
78,436,184,160,22
79,659,460,98,0
80,536,581,274,0
81,1490,693,52,0
82,1705,104,53,33
83,633,116,58,7
84,1142,42,0,0
85,1007,0,32,5
86,2066,707,31,0
87,1228,577,100,0
88,1528,210,99,0
89,871,307,175,0
90,1166,424,135,24
91,1474,429,73,8
92,1708,663,235,0
93,858,682,460,8
94,610,340,174,0
95,993,93,18,15
96,582,109,0,0
97,791,174,40,0
98,982,498,139,36
99,836,504,25,0
100,647,371,140,24
101,1054,497,72,0
102,1004,600,161,0
103,915,212,157,0
104,1377,28,40,0
105,1182,12,8,0
106,799,160,86,4
107,709,313,168,0
108,628,412,41,0
109,1176,146,67,0
110,124,478,428,0
111,782,43,54,4
112,753,288,213,0
113,859,400,746,0
114,106,314,926,0
115,618,306,58,0
116,1111,37,100,0
117,875,15,8,0
118,1509,82,0,0
119,1514,129,150,0
120,681,17,0,0
121,1558,146,0,0
122,1387,265,37,0
123,433,838,401,17
124,730,212,10,0
125,1324,438,124,0
126,200,326,348,0
127,724,387,150,0
128,833,543,280,0
129,658,538,694,8
130,259,796,1232,0
131,300,656,734,0
132,4,0,0,0
133,236,152,720,25
134,189,280,996,13
135,17,318,1652,0
136,1012,697,507,0
137,974,439,652,0
138,536,527,143,0
139,1191,506,87,0
140,1122,847,270,36
141,543,635,321,0
142,556,583,168,0
143,427,828,1344,0
144,525,413,473,15
145,1070,262,58,0
146,418,363,101,30
147,252,347,169,0
148,546,937,188,0
149,538,438,80,0
150,71,9,1105,52
151,25,188,1703,0
152,390,354,738,0
153,303,505,1223,0
154,2117,13,44,14
155,1626,85,16,0
156,1182,268,24,0
157,1029,572,115,0
158,1147,496,393,6
159,371,321,1196,0
160,1038,627,739,0
161,1153,685,310,0
162,690,1147,419,0
163,298,747,360,0
164,1317,599,124,0
165,1730,537,481,11
166,2507,16,49,0
167,2597,58,110,0
168,461,963,557,7
169,310,309,948,0
170,577,122,932,0
171,790,418,264,0
172,2247,23,0,38
173,864,30,13,7
174,2430,17,0,15
175,1340,0,25,0
176,745,0,0,12
177,1525,332,294,0
178,2052,118,43,0
179,1221,142,0,0
180,1664,101,315,142
181,604,575,700,30
182,563,141,351,157
183,572,154,663,0
184,1260,695,693,0
185,1281,83,136,0
186,1112,261,385,8
187,1354,283,101,0
188,1355,131,367,0
189,1251,137,132,9
190,1091,125,268,14
191,988,605,1402,0
192,825,50,141,42
193,1311,163,8,0
194,1385,22,48,10
195,1039,237,90,17
196,563,407,590,0
197,654,364,711,197
198,1193,543,1056,16
199,2129,52,17,43
200,1873,96,47,358
201,1379,7,8,24
202,1330,31,713,83
203,658,229,170,4
204,1625,435,489,64
205,696,452,1278,37
206,1027,368,411,51
207,1205,107,285,4
208,2124,38,49,0
209,523,519,1006,14
210,1402,51,0,4
211,947,292,469,0
212,853,498,739,0
213,757,355,330,0
214,1111,416,128,11
215,1377,205,59,33
216,1182,187,99,0
217,1576,63,41,8
218,1670,33,0,11
219,1451,0,13,7
220,1335,29,367,100
221,594,375,292,34
222,1611,553,288,13
223,1878,410,759,0
224,997,5,12,17
225,509,582,700,9
226,1177,280,379,0
227,510,262,952,0
228,837,95,145,7
229,724,141,475,0
230,1208,291,383,0
231,944,151,127,20
232,1785,17,8,187
233,827,370,254,0
234,1341,221,496,321
235,595,130,200,0
236,893,15,0,19
237,415,425,337,0
238,647,117,164,0
239,296,308,481,0
240,243,572,267,6
241,1222,118,45,0
242,361,151,192,0
243,899,86,118,8
244,1940,52,194,0
245,760,0,0,465
246,858,121,69,273
247,923,112,71,771
248,911,13,5,0
249,535,0,35,145
250,493,140,439,0
251,1335,146,17,14
252,1436,70,313,374
253,1033,159,129,0
254,978,30,24,8
255,975,65,29,0
256,847,172,156,471
257,1206,178,626,0
258,619,97,234,0
259,888,0,0,0
260,774,17,39,0
261,1056,10,10,9
262,1342,145,748,0
263,995,218,266,8
264,1197,35,202,204
265,2058,160,431,0
266,677,110,428,0
267,1632,62,153,0
268,2031,21,327,0
269,1520,78,121,21
270,1761,22,39,0
271,1653,99,261,4
272,1672,8,0,179
273,1457,3,28,6
274,1033,308,106,0
275,1005,228,142,0
276,1412,0,55,8
277,1520,56,802,0
278,1694,380,686,0
279,1808,160,474,0
280,567,157,574,0
281,226,292,1689,0
282,1820,345,487,0
283,648,206,2019,0
284,368,304,791,0
285,700,142,999,0
286,1039,0,0,0
287,1596,7,67,32
288,2073,15,87,0
289,1052,87,370,0
290,973,284,893,0
291,1714,59,224,0
292,1769,70,411,0
293,1081,42,184,0
294,1113,119,527,0
295,903,62,109,0
296,917,19,14,0
297,2047,75,189,12
298,813,14,0,1
299,1531,36,57,305
300,1502,12,0,0
301,1204,24,0,0
302,1417,291,91,3
303,1440,0,0,0
304,1194,0,0,0
305,1224,0,5,0
306,592,285,357,12
307,914,22,19,0
308,2424,13,98,0
309,1870,95,62,0
310,992,83,111,10
311,1013,290,10,0
312,1197,134,186,20
313,1228,253,609,0
314,1475,12,0,0
315,1111,264,258,0
316,684,53,1237,0
317,922,24,405,27
318,675,964,687,0
319,1453,18,284,0
320,1755,118,237,0
321,807,242,248,0
322,1687,11,33,11
323,1160,143,17,17
324,2505,330,544,7
325,1540,0,0,8
326,1409,110,199,0
327,1157,163,92,0
328,1796,53,104,0
329,916,491,908,0
330,2535,101,0,29
331,1287,280,287,0
332,1306,263,37,265
333,878,272,870,0
334,1478,107,0,9
335,1637,169,203,0
336,1020,123,57,12
337,608,135,1291,0
338,1262,47,35,5
339,1481,110,20,0
340,2229,74,103,66
341,1390,0,10,0
342,2109,345,132,76
343,1386,25,43,0
344,2117,28,93,180
345,1644,381,350,0
346,753,25,12,6
347,1564,455,187,62
348,1225,263,280,0
349,1743,148,352,0
350,530,59,24,0
351,1184,0,0,0
352,595,210,352,0
353,1562,251,89,27
354,1921,306,789,12
355,1078,6,0,0
356,1298,6,56,0
357,1385,91,219,0
358,4,9,15,0
359,28,4,8,0
360,37,2,378,0
361,0,0,0,0
362,1173,108,502,38
363,2652,13,0,120
364,1389,52,7,110
365,2383,104,4,75
366,712,20,12,82
367,1795,181,178,100
368,1465,66,0,230
369,1650,295,267,309
370,2230,130,0,97
371,1224,94,21,90
372,1284,121,107,198
373,1263,116,18,0
374,1441,513,603,0
375,817,623,72,441
376,559,527,236,479
377,709,622,336,252
378,343,191,261,207
379,2384,273,214,166
380,1061,415,295,57
381,598,599,757,19
382,1294,85,28,0
383,582,257,264,5
384,468,923,422,16
385,1786,400,319,0
386,1973,298,103,0
387,849,133,0,0
388,1103,1020,564,89
389,2079,349,429,0
390,1381,665,265,20
391,785,673,197,187
392,960,520,150,24
393,1103,275,94,51
394,1998,0,14,244
395,1927,158,0,165
396,2437,64,19,240
397,1873,44,0,792
398,884,0,0,511
399,912,10,0,592
400,1646,81,59,789
401,1238,55,15,286
402,1948,133,118,265
403,1562,518,0,203
404,1930,190,196,185
405,1715,28,13,531
406,1793,17,0,1103
407,969,456,136,93
408,758,11,0,406
409,1175,31,0,640
410,1871,49,107,196
411,1064,477,358,53
412,744,27,14,164
413,853,4,0,347
414,1021,8,53,128
415,1458,0,109,123
416,885,35,18,556
417,1259,16,9,610
418,912,34,53,123
419,1099,123,23,53
420,1384,119,46,84
421,1137,24,0,114
422,1256,54,0,396
423,2533,81,0,242
424,1560,205,181,296
425,1823,27,31,269
426,3572,57,31,319
427,2303,0,0,11
428,2595,375,155,350
429,2067,41,0,290
430,2597,73,0,113
431,3372,0,0,96
432,2232,55,8,46
433,1407,105,25,159
434,1423,197,189,170
435,1619,172,90,38
436,936,30,0,215
437,872,138,47,39
438,1414,69,0,477
