HouseHoldId,Tot_Housing_Units_ACS_10_14,Single_Unit_ACS_10_14,MLT_U2_9_STRC_ACS_10_14,MLT_U10p_ACS_10_14,Mobile_Homes_ACS_10_14
1,1382,1301,81,0,0
2,867,595,179,93,0
3,2597,1473,541,583,0
4,1894,933,730,231,0
5,1680,772,630,278,0
6,764,366,369,29,0
7,1948,847,962,129,10
8,1796,703,699,394,0
9,1108,612,417,79,0
10,2719,1145,1355,174,45
11,2117,624,973,520,0
12,1273,557,533,183,0
13,1857,27,575,1255,0
14,1753,385,1119,249,0
15,1226,499,339,388,0
16,918,293,417,208,0
17,1322,444,383,495,0
18,834,333,389,112,0
19,1026,429,459,130,8
20,1194,329,500,336,29
21,782,192,168,422,0
22,677,61,76,540,0
23,738,168,372,198,0
24,2225,82,243,1893,0
25,860,17,23,814,0
26,1709,89,118,1497,5
27,740,24,138,564,14
28,2293,122,254,1917,0
29,3109,60,76,2936,37
30,2760,319,477,1964,0
31,1286,187,451,648,0
32,2724,266,270,2127,61
33,1860,15,333,1476,10
34,1165,32,296,820,17
35,1904,606,785,513,0
36,2275,307,479,1479,10
37,1740,237,328,1175,0
38,1772,600,526,641,5
39,1665,231,348,1078,0
40,1405,1117,73,215,0
41,1355,1061,140,154,0
42,2392,1711,185,496,0
43,718,671,47,0,0
44,2416,2219,144,53,0
45,1854,1828,16,10,0
46,826,821,0,0,5
47,1292,682,274,336,0
48,2138,1153,701,284,0
49,1627,1093,296,238,0
50,1606,1525,30,39,12
51,2592,617,1225,750,0
52,1612,79,524,1009,0
53,1584,70,547,967,0
54,1789,403,480,898,8
55,1283,253,630,400,0
56,1684,510,764,410,0
57,1515,445,701,365,4
58,1496,521,627,348,0
59,1411,767,574,64,0
60,1178,574,468,136,0
61,1026,477,473,76,0
62,1580,259,481,840,0
63,1646,664,442,531,9
64,1497,542,367,567,21
65,1429,302,534,593,0
66,1304,619,447,221,17
67,811,415,270,126,0
68,2039,945,990,104,0
69,1872,991,628,253,0
70,996,398,416,182,0
71,2349,1921,345,83,0
72,1461,1129,332,0,0
73,1567,1083,424,60,0
74,2203,1195,710,282,16
75,1109,504,446,159,0
76,1426,1032,248,140,6
77,1945,746,743,446,10
78,802,436,184,160,22
79,1217,659,460,98,0
80,1391,536,581,274,0
81,2287,1490,693,52,0
82,1895,1705,104,53,33
83,814,633,116,58,7
84,1184,1142,42,0,0
85,1044,1007,0,32,5
86,2804,2066,707,31,0
87,1905,1228,577,100,0
88,1837,1528,210,99,0
89,1353,871,307,175,0
90,1749,1166,424,135,24
91,1984,1474,429,73,8
92,2606,1708,663,235,0
93,2008,858,682,460,8
94,1124,610,340,174,0
95,1119,993,93,18,15
96,691,582,109,0,0
97,1005,791,174,40,0
98,1655,982,498,139,36
99,1365,836,504,25,0
100,1182,647,371,140,24
101,1623,1054,497,72,0
102,1765,1004,600,161,0
103,1284,915,212,157,0
104,1445,1377,28,40,0
105,1202,1182,12,8,0
106,1049,799,160,86,4
107,1190,709,313,168,0
108,1081,628,412,41,0
109,1389,1176,146,67,0
110,1030,124,478,428,0
111,883,782,43,54,4
112,1254,753,288,213,0
113,2005,859,400,746,0
114,1346,106,314,926,0
115,982,618,306,58,0
116,1248,1111,37,100,0
117,898,875,15,8,0
118,1591,1509,82,0,0
119,1793,1514,129,150,0
120,698,681,17,0,0
121,1704,1558,146,0,0
122,1689,1387,265,37,0
123,1689,433,838,401,17
124,952,730,212,10,0
125,1886,1324,438,124,0
126,874,200,326,348,0
127,1261,724,387,150,0
128,1656,833,543,280,0
129,1898,658,538,694,8
130,2287,259,796,1232,0
131,1690,300,656,734,0
132,4,4,0,0,0
133,1133,236,152,720,25
134,1478,189,280,996,13
135,1987,17,318,1652,0
136,2216,1012,697,507,0
137,2065,974,439,652,0
138,1206,536,527,143,0
