PopulationId,OneIns,MoreIns,NoIns
1,2563,708,114
2,1415,419,105
3,4439,585,404
4,3456,526,292
5,2526,435,555
6,1251,113,386
7,2876,683,837
8,2268,350,588
9,1742,173,116
10,4330,588,581
11,3213,501,526
12,1894,265,155
13,2002,472,1059
14,2897,538,862
15,1402,182,547
16,1231,306,382
17,1801,317,462
18,1205,253,336
19,1715,277,454
20,1901,471,462
21,1328,246,335
22,600,272,157
23,1111,367,169
24,2024,646,583
25,822,266,311
26,1248,912,311
27,973,263,169
28,2585,496,657
29,2623,770,950
30,2767,1041,687
31,1570,242,206
32,3507,310,467
33,1761,387,290
34,1473,273,156
35,2693,426,336
36,2886,640,443
37,2077,349,365
38,2354,410,143
39,1655,530,185
40,2891,472,73
41,2606,680,62
42,4292,752,102
43,1370,340,44
44,4305,779,299
45,3590,831,52
46,1642,334,95
47,2187,294,413
48,3050,822,445
49,2413,650,331
50,3341,654,89
51,3482,686,353
52,2011,397,251
53,1372,675,667
54,2722,394,1183
55,1851,307,537
56,2705,529,667
57,2291,360,552
58,2456,404,473
59,2751,369,804
60,2327,378,1105
61,2227,353,933
62,2151,627,480
63,3050,456,1395
64,2634,435,1119
65,2483,379,1470
66,2993,662,744
67,1165,470,530
68,3711,816,1423
69,3988,465,534
70,1707,257,624
71,3966,871,162
72,2591,739,287
73,3074,409,378
74,3976,451,1169
75,2318,436,1128
76,2842,515,1123
77,3675,459,2221
78,1778,261,519
79,2849,303,1208
80,2531,384,753
81,3683,1139,942
82,3338,633,397
83,1991,358,388
84,2064,543,236
85,2155,472,164
86,5162,1228,73
87,3010,639,455
88,3049,714,951
89,2324,552,656
90,4108,601,942
91,4094,668,1699
92,5273,1068,1089
93,4216,613,1352
94,1777,481,987
95,2717,552,768
96,1583,266,374
97,2164,317,701
98,3436,645,1004
99,3219,306,963
100,2566,491,1000
101,3377,369,1254
102,3829,440,1014
103,1976,479,428
104,2274,780,253
105,2135,750,375
106,1986,564,494
107,1886,413,677
108,2375,213,935
109,2880,601,608
110,1723,165,447
111,1953,290,113
112,2556,275,300
113,3784,414,518
114,3098,394,182
115,1815,330,181
116,2217,368,171
117,1510,555,43
118,2612,981,79
119,2986,879,228
120,1258,379,84
121,2683,960,150
122,2445,788,269
123,2740,619,278
124,1684,473,54
125,3066,537,192
126,1421,179,200
127,1848,264,167
128,2846,286,207
129,3045,616,227
130,3593,507,165
131,3718,376,238
132,580,74,64
133,3569,373,525
134,6691,975,488
135,3650,417,340
136,3867,848,317
137,2778,777,430
138,1855,246,628
139,2809,622,499
140,3829,566,711
141,2172,544,331
142,2162,417,130
143,5023,587,402
144,3023,728,214
145,2311,708,31
146,1556,177,153
147,1124,186,65
148,2801,422,767
149,1561,388,337
150,1019,352,148
151,2205,219,307
152,2306,227,344
153,2475,479,368
154,5199,951,15
155,4095,574,108
156,2705,477,247
157,3206,417,532
158,3439,602,759
