PopulationId,URBANIZED_AREA_POP_CEN_2010,URBAN_CLUSTER_POP_CEN_2010,RURAL_POP_CEN_2010
1,2937,0,0
2,1974,0,0
3,4865,0,0
4,3703,0,0
5,3517,0,0
6,1571,0,0
7,4206,0,0
8,3594,0,0
9,2302,0,0
10,5678,0,0
11,4156,0,0
12,2416,0,0
13,3528,0,0
14,4314,0,0
15,2630,0,0
16,2163,0,0
17,2667,0,0
18,1703,0,0
19,2385,0,0
20,2351,0,0
21,1784,0,0
22,1151,0,0
23,1569,0,0
24,3345,0,0
25,1434,0,0
26,2788,0,0
27,2238,0,0
28,4054,0,0
29,4146,0,0
30,4374,0,0
31,1991,0,0
32,4482,0,0
33,2587,0,0
34,1724,0,0
35,3461,0,0
36,3584,0,0
37,2819,0,0
38,2929,0,0
39,2283,0,0
40,3483,0,0
41,3218,0,0
42,5314,0,0
43,1677,0,0
44,5784,0,0
45,4353,0,0
46,1954,0,0
47,2684,0,0
48,4129,0,0
49,3136,0,0
50,4197,0,0
51,4597,0,0
52,2603,0,0
53,2530,0,0
54,3957,0,0
55,3114,0,0
56,3643,0,0
57,3137,0,0
58,3243,0,0
59,3965,0,0
60,3910,0,0
61,3035,0,0
62,3450,0,0
63,4381,0,0
64,4649,0,0
65,4718,0,0
66,4113,0,0
67,2145,0,0
68,5930,0,0
69,4596,0,0
70,2493,0,0
71,5048,0,0
72,3428,0,0
73,3719,0,0
74,5885,0,0
75,3414,0,0
76,4351,0,0
77,6746,0,0
78,2598,0,0
79,3954,0,0
80,3931,0,0
81,6027,0,0
82,4109,0,0
83,2425,0,0
84,2706,0,0
85,2671,0,0
86,5982,0,9
87,4054,0,0
88,4167,0,0
89,3323,0,0
90,4972,0,0
91,5492,0,0
92,7207,0,0
93,5547,0,0
94,3414,0,0
95,3552,0,0
96,2255,0,0
97,3152,0,0
98,5229,0,0
99,4306,0,0
100,3122,0,0
101,5063,0,0
102,4696,0,0
103,2887,0,0
104,3308,0,0
105,2805,0,0
106,2406,0,0
107,3062,0,0
108,3536,0,0
109,3792,0,0
110,2193,0,0
111,2355,0,0
112,2898,0,0
113,4571,0,0
114,3124,0,0
115,2308,0,0
116,3283,0,0
117,1992,0,0
118,3563,0,0
119,3844,0,0
120,1593,0,0
121,3640,0,0
122,3558,0,0
123,3198,0,0
124,2007,0,0
125,3632,0,0
126,1756,0,0
127,2685,0,0
128,3144,0,0
129,3387,0,0
130,4196,0,0
131,4658,0,0
132,1215,0,0
133,4885,0,0
134,8368,0,0
135,4336,0,0
136,4396,0,0
137,3964,0,0
138,2794,0,0
139,3647,0,0
140,4685,0,0
141,3118,0,0
142,2642,0,0
143,5659,0,0
144,3633,0,0
145,2925,0,0
146,2020,0,0
147,1552,0,0
148,3716,0,0
149,2172,0,0
150,1596,0,0
151,2807,0,0
152,2502,0,0
153,3175,0,0
154,5922,0,0
155,4745,0,0
156,3646,0,0
