One_Health_Ins_ACS_10_14,Two_Plus_Health_Ins_ACS_10_14,No_Health_Ins_ACS_10_14
2563,708,114
1415,419,105
4439,585,404
3456,526,292
2526,435,555
1251,113,386
2876,683,837
2268,350,588
1742,173,116
4330,588,581
3213,501,526
1894,265,155
2002,472,1059
2897,538,862
1402,182,547
1231,306,382
1801,317,462
1205,253,336
1715,277,454
1901,471,462
1328,246,335
600,272,157
1111,367,169
2024,646,583
822,266,311
1248,912,311
973,263,169
2585,496,657
2623,770,950
2767,1041,687
1570,242,206
3507,310,467
1761,387,290
1473,273,156
2693,426,336
2886,640,443
2077,349,365
2354,410,143
1655,530,185
2891,472,73
2606,680,62
4292,752,102
1370,340,44
4305,779,299
3590,831,52
1642,334,95
2187,294,413
3050,822,445
2413,650,331
3341,654,89
3482,686,353
2011,397,251
1372,675,667
2722,394,1183
1851,307,537
2705,529,667
2291,360,552
2456,404,473
2751,369,804
2327,378,1105
2227,353,933
2151,627,480
3050,456,1395
2634,435,1119
2483,379,1470
2993,662,744
1165,470,530
3711,816,1423
3988,465,534
1707,257,624
3966,871,162
2591,739,287
3074,409,378
3976,451,1169
2318,436,1128
2842,515,1123
3675,459,2221
1778,261,519
2849,303,1208
2531,384,753
3683,1139,942
3338,633,397
1991,358,388
2064,543,236
2155,472,164
5162,1228,73
3010,639,455
3049,714,951
2324,552,656
4108,601,942
4094,668,1699
5273,1068,1089
4216,613,1352
1777,481,987
2717,552,768
1583,266,374
2164,317,701
3436,645,1004
3219,306,963
2566,491,1000
3377,369,1254
3829,440,1014
1976,479,428
2274,780,253
2135,750,375
1986,564,494
1886,413,677
2375,213,935
2880,601,608
1723,165,447
1953,290,113
2556,275,300
3784,414,518
3098,394,182
1815,330,181
2217,368,171
1510,555,43
2612,981,79
2986,879,228
1258,379,84
2683,960,150
2445,788,269
2740,619,278
1684,473,54
3066,537,192
1421,179,200
1848,264,167
2846,286,207
3045,616,227
3593,507,165
3718,376,238
580,74,64
3569,373,525
6691,975,488
3650,417,340
3867,848,317
2778,777,430
1855,246,628
2809,622,499
3829,566,711
2172,544,331
2162,417,130
5023,587,402
3023,728,214
2311,708,31
1556,177,153
1124,186,65
2801,422,767
1561,388,337
1019,352,148
2205,219,307
2306,227,344
2475,479,368
5199,951,15
4095,574,108
2705,477,247
3206,417,532
3439,602,759
3811,682,1029
3397,583,696
3923,522,402
3887,615,357
2408,259,722
3885,634,465
5336,978,377
4634,961,567
5418,1390,126
3188,508,541
2386,665,391
1902,737,195
2784,426,214
5243,1244,257
1514,450,176
5277,1093,326
2630,690,457
1677,389,62
4375,727,623
4469,956,408
2877,602,321
4422,957,623
3711,592,382
2008,453,411
2215,369,500
3492,1131,850
3094,400,238
2864,704,386
3410,600,536
3863,558,1292
3216,809,982
3465,636,508
5714,921,820
1835,377,289
2202,678,181
2559,615,412
2568,566,602
3331,295,793
2772,463,676
5094,823,1093
5007,919,1136
4541,1212,628
3284,859,645
4540,794,687
2424,226,680
5104,854,1982
5293,360,1219
3765,542,983
4236,698,211
5429,694,362
3751,536,1079
3345,678,444
2812,563,577
3195,576,538
2264,431,611
3710,362,1102
3845,552,1088
3323,802,286
3529,981,714
4271,962,323
3311,708,460
4358,860,826
2819,376,781
5080,612,1718
5341,1072,1387
2095,471,173
3205,441,890
4552,522,1149
3735,468,1143
2646,355,679
2844,563,741
4530,798,1249
2325,470,378
4958,867,458
3028,666,540
5199,1271,869
2582,406,334
2150,459,578
3047,330,976
2421,425,898
2605,263,964
3264,316,1352
3496,382,692
1548,188,489
2216,464,627
5172,951,1107
3268,804,999
3100,582,702
3407,1012,892
2908,489,736
1855,356,265
1738,452,251
4373,699,1095
5305,705,830
3930,570,596
2894,667,458
2897,484,533
2872,789,360
4147,945,462
2723,389,507
2826,481,258
2414,279,118
3366,633,434
5967,320,457
3552,652,736
3179,726,179
6217,648,533
2648,327,228
4470,777,188
5769,871,696
4352,479,398
5819,492,322
5515,384,274
5105,785,279
4166,718,273
3391,333,284
4090,204,42
3517,792,496
5785,907,1183
6270,480,857
5703,886,443
3240,280,322
4146,390,602
5974,614,686
5291,392,327
3469,137,614
3647,432,178
2710,410,106
4176,614,198
5672,652,363
3694,381,470
4089,782,555
5203,771,973
5576,790,1040
2943,556,95
3894,459,573
2549,454,177
2322,390,431
6050,1188,555
2583,156,249
5113,443,602
4210,634,284
3357,522,126
4767,559,373
3793,493,74
2990,351,181
3691,398,73
2715,240,170
2847,334,142
5820,1418,302
4680,948,896
3227,338,335
3841,353,550
3713,408,695
5490,678,678
3807,678,543
3502,416,319
3790,367,293
3273,443,89
4232,353,390
4280,515,234
4497,968,497
2564,584,177
4212,730,210
2778,443,198
7043,1132,1071
3843,499,284
3932,770,163
3261,603,134
4976,719,182
3742,681,700
7161,1031,52
3897,556,644
3827,793,125
4821,273,783
4068,464,344
5034,469,326
2831,328,118
3274,499,188
3413,312,308
4733,672,170
6038,589,325
3104,840,87
5237,756,775
3087,530,319
5778,662,676
4935,793,584
1438,323,339
4616,509,1092
3293,868,363
4202,949,390
1363,119,191
2831,387,96
2445,416,694
4353,544,148
4911,1173,535
2230,434,231
3666,593,228
3223,733,272
15,0,13
83,0,0
521,17,53
0,0,0
